areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate
E06000023,"Bristol, City of",ltla,12/10/2021,540
E06000023,"Bristol, City of",ltla,11/10/2021,540
E06000023,"Bristol, City of",ltla,10/10/2021,540
E06000023,"Bristol, City of",ltla,09/10/2021,540
E06000023,"Bristol, City of",ltla,08/10/2021,540
E06000023,"Bristol, City of",ltla,07/10/2021,540
E06000023,"Bristol, City of",ltla,06/10/2021,539
E06000023,"Bristol, City of",ltla,05/10/2021,538
E06000023,"Bristol, City of",ltla,04/10/2021,538
E06000023,"Bristol, City of",ltla,03/10/2021,537
E06000023,"Bristol, City of",ltla,02/10/2021,537
E06000023,"Bristol, City of",ltla,01/10/2021,536
E06000023,"Bristol, City of",ltla,30/09/2021,535
E06000023,"Bristol, City of",ltla,29/09/2021,533
E06000023,"Bristol, City of",ltla,28/09/2021,533
E06000023,"Bristol, City of",ltla,27/09/2021,532
E06000023,"Bristol, City of",ltla,26/09/2021,530
E06000023,"Bristol, City of",ltla,25/09/2021,529
E06000023,"Bristol, City of",ltla,24/09/2021,529
E06000023,"Bristol, City of",ltla,23/09/2021,529
E06000023,"Bristol, City of",ltla,22/09/2021,528
E06000023,"Bristol, City of",ltla,21/09/2021,526
E06000023,"Bristol, City of",ltla,20/09/2021,526
E06000023,"Bristol, City of",ltla,19/09/2021,526
E06000023,"Bristol, City of",ltla,18/09/2021,525
E06000023,"Bristol, City of",ltla,17/09/2021,525
E06000023,"Bristol, City of",ltla,16/09/2021,524
E06000023,"Bristol, City of",ltla,15/09/2021,523
E06000023,"Bristol, City of",ltla,14/09/2021,522
E06000023,"Bristol, City of",ltla,13/09/2021,518
E06000023,"Bristol, City of",ltla,12/09/2021,518
E06000023,"Bristol, City of",ltla,11/09/2021,518
E06000023,"Bristol, City of",ltla,10/09/2021,518
E06000023,"Bristol, City of",ltla,09/09/2021,517
E06000023,"Bristol, City of",ltla,08/09/2021,517
E06000023,"Bristol, City of",ltla,07/09/2021,516
E06000023,"Bristol, City of",ltla,06/09/2021,513
E06000023,"Bristol, City of",ltla,05/09/2021,512
E06000023,"Bristol, City of",ltla,04/09/2021,512
E06000023,"Bristol, City of",ltla,03/09/2021,511
E06000023,"Bristol, City of",ltla,02/09/2021,510
E06000023,"Bristol, City of",ltla,01/09/2021,508
E06000023,"Bristol, City of",ltla,31/08/2021,508
E06000023,"Bristol, City of",ltla,30/08/2021,507
E06000023,"Bristol, City of",ltla,29/08/2021,507
E06000023,"Bristol, City of",ltla,28/08/2021,507
E06000023,"Bristol, City of",ltla,27/08/2021,507
E06000023,"Bristol, City of",ltla,26/08/2021,507
E06000023,"Bristol, City of",ltla,25/08/2021,507
E06000023,"Bristol, City of",ltla,24/08/2021,506
E06000023,"Bristol, City of",ltla,23/08/2021,506
E06000023,"Bristol, City of",ltla,22/08/2021,505
E06000023,"Bristol, City of",ltla,21/08/2021,504
E06000023,"Bristol, City of",ltla,20/08/2021,503
E06000023,"Bristol, City of",ltla,19/08/2021,503
E06000023,"Bristol, City of",ltla,18/08/2021,501
E06000023,"Bristol, City of",ltla,17/08/2021,500
E06000023,"Bristol, City of",ltla,16/08/2021,500
E06000023,"Bristol, City of",ltla,15/08/2021,500
E06000023,"Bristol, City of",ltla,14/08/2021,500
E06000023,"Bristol, City of",ltla,13/08/2021,500
E06000023,"Bristol, City of",ltla,12/08/2021,499
E06000023,"Bristol, City of",ltla,11/08/2021,499
E06000023,"Bristol, City of",ltla,10/08/2021,499
E06000023,"Bristol, City of",ltla,09/08/2021,499
E06000023,"Bristol, City of",ltla,08/08/2021,499
E06000023,"Bristol, City of",ltla,07/08/2021,499
E06000023,"Bristol, City of",ltla,06/08/2021,498
E06000023,"Bristol, City of",ltla,05/08/2021,498
E06000023,"Bristol, City of",ltla,04/08/2021,498
E06000023,"Bristol, City of",ltla,03/08/2021,498
E06000023,"Bristol, City of",ltla,02/08/2021,497
E06000023,"Bristol, City of",ltla,01/08/2021,496
E06000023,"Bristol, City of",ltla,31/07/2021,496
E06000023,"Bristol, City of",ltla,30/07/2021,496
E06000023,"Bristol, City of",ltla,29/07/2021,496
E06000023,"Bristol, City of",ltla,28/07/2021,496
E06000023,"Bristol, City of",ltla,27/07/2021,495
E06000023,"Bristol, City of",ltla,26/07/2021,495
E06000023,"Bristol, City of",ltla,25/07/2021,495
E06000023,"Bristol, City of",ltla,24/07/2021,495
E06000023,"Bristol, City of",ltla,23/07/2021,495
E06000023,"Bristol, City of",ltla,22/07/2021,494
E06000023,"Bristol, City of",ltla,21/07/2021,494
E06000023,"Bristol, City of",ltla,20/07/2021,494
E06000023,"Bristol, City of",ltla,19/07/2021,493
E06000023,"Bristol, City of",ltla,18/07/2021,492
E06000023,"Bristol, City of",ltla,17/07/2021,491
E06000023,"Bristol, City of",ltla,16/07/2021,490
E06000023,"Bristol, City of",ltla,15/07/2021,490
E06000023,"Bristol, City of",ltla,14/07/2021,490
E06000023,"Bristol, City of",ltla,13/07/2021,489
E06000023,"Bristol, City of",ltla,12/07/2021,489
E06000023,"Bristol, City of",ltla,11/07/2021,487
E06000023,"Bristol, City of",ltla,10/07/2021,485
E06000023,"Bristol, City of",ltla,09/07/2021,485
E06000023,"Bristol, City of",ltla,08/07/2021,485
E06000023,"Bristol, City of",ltla,07/07/2021,485
E06000023,"Bristol, City of",ltla,06/07/2021,485
E06000023,"Bristol, City of",ltla,05/07/2021,485
E06000023,"Bristol, City of",ltla,04/07/2021,485
E06000023,"Bristol, City of",ltla,03/07/2021,485
E06000023,"Bristol, City of",ltla,02/07/2021,485
E06000023,"Bristol, City of",ltla,01/07/2021,485
E06000023,"Bristol, City of",ltla,30/06/2021,484
E06000023,"Bristol, City of",ltla,29/06/2021,484
E06000023,"Bristol, City of",ltla,28/06/2021,484
E06000023,"Bristol, City of",ltla,27/06/2021,484
E06000023,"Bristol, City of",ltla,26/06/2021,484
E06000023,"Bristol, City of",ltla,25/06/2021,484
E06000023,"Bristol, City of",ltla,24/06/2021,484
E06000023,"Bristol, City of",ltla,23/06/2021,484
E06000023,"Bristol, City of",ltla,22/06/2021,484
E06000023,"Bristol, City of",ltla,21/06/2021,484
E06000023,"Bristol, City of",ltla,20/06/2021,484
E06000023,"Bristol, City of",ltla,19/06/2021,483
E06000023,"Bristol, City of",ltla,18/06/2021,483
E06000023,"Bristol, City of",ltla,17/06/2021,483
E06000023,"Bristol, City of",ltla,16/06/2021,483
E06000023,"Bristol, City of",ltla,15/06/2021,483
E06000023,"Bristol, City of",ltla,14/06/2021,483
E06000023,"Bristol, City of",ltla,13/06/2021,483
E06000023,"Bristol, City of",ltla,12/06/2021,483
E06000023,"Bristol, City of",ltla,11/06/2021,483
E06000023,"Bristol, City of",ltla,10/06/2021,483
E06000023,"Bristol, City of",ltla,09/06/2021,483
E06000023,"Bristol, City of",ltla,08/06/2021,483
E06000023,"Bristol, City of",ltla,07/06/2021,483
E06000023,"Bristol, City of",ltla,06/06/2021,483
E06000023,"Bristol, City of",ltla,05/06/2021,483
E06000023,"Bristol, City of",ltla,04/06/2021,483
E06000023,"Bristol, City of",ltla,03/06/2021,483
E06000023,"Bristol, City of",ltla,02/06/2021,483
E06000023,"Bristol, City of",ltla,01/06/2021,483
E06000023,"Bristol, City of",ltla,31/05/2021,483
E06000023,"Bristol, City of",ltla,30/05/2021,483
E06000023,"Bristol, City of",ltla,29/05/2021,483
E06000023,"Bristol, City of",ltla,28/05/2021,483
E06000023,"Bristol, City of",ltla,27/05/2021,483
E06000023,"Bristol, City of",ltla,26/05/2021,483
E06000023,"Bristol, City of",ltla,25/05/2021,483
E06000023,"Bristol, City of",ltla,24/05/2021,483
E06000023,"Bristol, City of",ltla,23/05/2021,483
E06000023,"Bristol, City of",ltla,22/05/2021,483
E06000023,"Bristol, City of",ltla,21/05/2021,483
E06000023,"Bristol, City of",ltla,20/05/2021,483
E06000023,"Bristol, City of",ltla,19/05/2021,483
E06000023,"Bristol, City of",ltla,18/05/2021,483
E06000023,"Bristol, City of",ltla,17/05/2021,483
E06000023,"Bristol, City of",ltla,16/05/2021,483
E06000023,"Bristol, City of",ltla,15/05/2021,483
E06000023,"Bristol, City of",ltla,14/05/2021,483
E06000023,"Bristol, City of",ltla,13/05/2021,483
E06000023,"Bristol, City of",ltla,12/05/2021,483
E06000023,"Bristol, City of",ltla,11/05/2021,483
E06000023,"Bristol, City of",ltla,10/05/2021,483
E06000023,"Bristol, City of",ltla,09/05/2021,483
E06000023,"Bristol, City of",ltla,08/05/2021,483
E06000023,"Bristol, City of",ltla,07/05/2021,483
E06000023,"Bristol, City of",ltla,06/05/2021,483
E06000023,"Bristol, City of",ltla,05/05/2021,483
E06000023,"Bristol, City of",ltla,04/05/2021,483
E06000023,"Bristol, City of",ltla,03/05/2021,483
E06000023,"Bristol, City of",ltla,02/05/2021,483
E06000023,"Bristol, City of",ltla,01/05/2021,482
E06000023,"Bristol, City of",ltla,30/04/2021,482
E06000023,"Bristol, City of",ltla,29/04/2021,481
E06000023,"Bristol, City of",ltla,28/04/2021,481
E06000023,"Bristol, City of",ltla,27/04/2021,481
E06000023,"Bristol, City of",ltla,26/04/2021,481
E06000023,"Bristol, City of",ltla,25/04/2021,480
E06000023,"Bristol, City of",ltla,24/04/2021,480
E06000023,"Bristol, City of",ltla,23/04/2021,480
E06000023,"Bristol, City of",ltla,22/04/2021,480
E06000023,"Bristol, City of",ltla,21/04/2021,480
E06000023,"Bristol, City of",ltla,20/04/2021,480
E06000023,"Bristol, City of",ltla,19/04/2021,480
E06000023,"Bristol, City of",ltla,18/04/2021,480
E06000023,"Bristol, City of",ltla,17/04/2021,480
E06000023,"Bristol, City of",ltla,16/04/2021,480
E06000023,"Bristol, City of",ltla,15/04/2021,480
E06000023,"Bristol, City of",ltla,14/04/2021,480
E06000023,"Bristol, City of",ltla,13/04/2021,480
E06000023,"Bristol, City of",ltla,12/04/2021,480
E06000023,"Bristol, City of",ltla,11/04/2021,480
E06000023,"Bristol, City of",ltla,10/04/2021,480
E06000023,"Bristol, City of",ltla,09/04/2021,480
E06000023,"Bristol, City of",ltla,08/04/2021,480
E06000023,"Bristol, City of",ltla,07/04/2021,480
E06000023,"Bristol, City of",ltla,06/04/2021,480
E06000023,"Bristol, City of",ltla,05/04/2021,480
E06000023,"Bristol, City of",ltla,04/04/2021,480
E06000023,"Bristol, City of",ltla,03/04/2021,480
E06000023,"Bristol, City of",ltla,02/04/2021,480
E06000023,"Bristol, City of",ltla,01/04/2021,480
E06000023,"Bristol, City of",ltla,31/03/2021,480
E06000023,"Bristol, City of",ltla,30/03/2021,480
E06000023,"Bristol, City of",ltla,29/03/2021,480
E06000023,"Bristol, City of",ltla,28/03/2021,480
E06000023,"Bristol, City of",ltla,27/03/2021,480
E06000023,"Bristol, City of",ltla,26/03/2021,480
E06000023,"Bristol, City of",ltla,25/03/2021,480
E06000023,"Bristol, City of",ltla,24/03/2021,480
E06000023,"Bristol, City of",ltla,23/03/2021,480
E06000023,"Bristol, City of",ltla,22/03/2021,480
E06000023,"Bristol, City of",ltla,21/03/2021,480
E06000023,"Bristol, City of",ltla,20/03/2021,479
E06000023,"Bristol, City of",ltla,19/03/2021,479
E06000023,"Bristol, City of",ltla,18/03/2021,479
E06000023,"Bristol, City of",ltla,17/03/2021,479
E06000023,"Bristol, City of",ltla,16/03/2021,479
E06000023,"Bristol, City of",ltla,15/03/2021,479
E06000023,"Bristol, City of",ltla,14/03/2021,479
E06000023,"Bristol, City of",ltla,13/03/2021,479
E06000023,"Bristol, City of",ltla,12/03/2021,479
E06000023,"Bristol, City of",ltla,11/03/2021,478
