State,Type,Value
Alabama,Very religious,54
Alabama,Moderately religious,29
Alabama,Nonreligious,17
Texas,Very religious,43
Texas,Moderately religious,32
Texas,Nonreligious,25
Wyoming,Very religious,36
Wyoming,Moderately religious,26
Wyoming,Nonreligious,38
New York,Very religious,31
New York,Moderately religious,29
New York,Nonreligious,40
California,Very religious,29
California,Moderately religious,30
California,Nonreligious,41
Washington,Very religious,28
Washington,Moderately religious,26
Washington,Nonreligious,47
