COUNTRY,Country,SERIES,Series,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Wage,Value
FRA,France,CPNCU,Current prices in NCU,2000,2000,EUR,Euro,0,Units,25609.2862044471,100
FRA,France,CPNCU,Current prices in NCU,2001,2001,EUR,Euro,0,Units,26280.0309910777,102.6191467473
FRA,France,CPNCU,Current prices in NCU,2002,2002,EUR,Euro,0,Units,27217.2963332873,106.279011902179
FRA,France,CPNCU,Current prices in NCU,2003,2003,EUR,Euro,0,Units,27906.3824200524,108.969778373621
FRA,France,CPNCU,Current prices in NCU,2004,2004,EUR,Euro,0,Units,28968.476296022,113.117078175305
FRA,France,CPNCU,Current prices in NCU,2005,2005,EUR,Euro,0,Units,29853.4789067677,116.572866062872
FRA,France,CPNCU,Current prices in NCU,2006,2006,EUR,Euro,0,Units,30841.9980497718,120.432868778732
FRA,France,CPNCU,Current prices in NCU,2007,2007,EUR,Euro,0,Units,31612.9849184353,123.443444171223
FRA,France,CPNCU,Current prices in NCU,2008,2008,EUR,Euro,0,Units,32420.2271181031,126.595590596638
FRA,France,CPNCU,Current prices in NCU,2009,2009,EUR,Euro,0,Units,32956.7505085747,128.690625132893
FRA,France,CPNCU,Current prices in NCU,2010,2010,EUR,Euro,0,Units,33992.964065117,132.736866594954
FRA,France,CPNCU,Current prices in NCU,2011,2011,EUR,Euro,0,Units,34562.4231906349,134.96050969446
FRA,France,CPNCU,Current prices in NCU,2012,2012,EUR,Euro,0,Units,35290.4124787974,137.803186691979
FRA,France,CPNCU,Current prices in NCU,2013,2013,EUR,Euro,0,Units,35834.5946801646,139.928127609983
FRA,France,CPNCU,Current prices in NCU,2014,2014,EUR,Euro,0,Units,36123.8681452612,141.057692342039
FRA,France,CPNCU,Current prices in NCU,2015,2015,EUR,Euro,0,Units,36580.0534717147,142.839020110457
FRA,France,CPNCU,Current prices in NCU,2016,2016,EUR,Euro,0,Units,37095.8585727489,144.853153174988
FRA,France,CPNCU,Current prices in NCU,2017,2017,EUR,Euro,0,Units,37915.8758566428,148.055184177912
FRA,France,CPNCU,Current prices in NCU,2018,2018,EUR,Euro,0,Units,38556.1575193363,150.555377496781
FRA,France,CPNCU,Current prices in NCU,2019,2019,EUR,Euro,0,Units,39117.2355463615,152.746293801694
FRA,France,CPNCU,Current prices in NCU,2020,2020,EUR,Euro,0,Units,38077.8014997926,148.687476862125
DEU,Germany,CPNCU,Current prices in NCU,2000,2000,EUR,Euro,0,Units,28022.6900669146,100
DEU,Germany,CPNCU,Current prices in NCU,2001,2001,EUR,Euro,0,Units,28825.5351575587,102.864982229497
DEU,Germany,CPNCU,Current prices in NCU,2002,2002,EUR,Euro,0,Units,29372.5833897562,104.817143963046
DEU,Germany,CPNCU,Current prices in NCU,2003,2003,EUR,Euro,0,Units,29907.1097943576,106.724621094346
DEU,Germany,CPNCU,Current prices in NCU,2004,2004,EUR,Euro,0,Units,30230.5222954984,107.878730497721
DEU,Germany,CPNCU,Current prices in NCU,2005,2005,EUR,Euro,0,Units,30683.9352392633,109.496751261189
DEU,Germany,CPNCU,Current prices in NCU,2006,2006,EUR,Euro,0,Units,31074.9886823368,110.892239853254
DEU,Germany,CPNCU,Current prices in NCU,2007,2007,EUR,Euro,0,Units,31567.3601183665,112.649285429014
DEU,Germany,CPNCU,Current prices in NCU,2008,2008,EUR,Euro,0,Units,32336.909312039,115.395450025756
DEU,Germany,CPNCU,Current prices in NCU,2009,2009,EUR,Euro,0,Units,32366.1191267014,115.49968632353
DEU,Germany,CPNCU,Current prices in NCU,2010,2010,EUR,Euro,0,Units,33190.7013678574,118.442238373983
DEU,Germany,CPNCU,Current prices in NCU,2011,2011,EUR,Euro,0,Units,34475.8761804334,123.028431953212
DEU,Germany,CPNCU,Current prices in NCU,2012,2012,EUR,Euro,0,Units,35429.3916349528,126.431086916895
DEU,Germany,CPNCU,Current prices in NCU,2013,2013,EUR,Euro,0,Units,36272.2849655765,129.438982763478
DEU,Germany,CPNCU,Current prices in NCU,2014,2014,EUR,Euro,0,Units,37227.0247149908,132.846006668516
DEU,Germany,CPNCU,Current prices in NCU,2015,2015,EUR,Euro,0,Units,38308.4009836309,136.704937649295
DEU,Germany,CPNCU,Current prices in NCU,2016,2016,EUR,Euro,0,Units,39128.3466344212,139.630943856524
DEU,Germany,CPNCU,Current prices in NCU,2017,2017,EUR,Euro,0,Units,40140.5166581804,143.242909807481
DEU,Germany,CPNCU,Current prices in NCU,2018,2018,EUR,Euro,0,Units,41320.4259995521,147.453459681723
DEU,Germany,CPNCU,Current prices in NCU,2019,2019,EUR,Euro,0,Units,42523.8543216387,151.747937903525
DEU,Germany,CPNCU,Current prices in NCU,2020,2020,EUR,Euro,0,Units,42593.1263713466,151.995137760292
GRC,Greece,CPNCU,Current prices in NCU,2000,2000,EUR,Euro,0,Units,13901.619131201,100
GRC,Greece,CPNCU,Current prices in NCU,2001,2001,EUR,Euro,0,Units,14597.8555287533,105.008311556959
